,claim,label
34656, A baby died at an unnamed medical facility because its parents refused to allow a black nurse to care for the child.,3
3632,Bat from Shawnee County tests positive for rabies.,0
29558,Germany has banned pork from school canteens because it offends Muslim 'migrants.',1
8416,Coronavirus prompts Canada to roll out safe drugs for street users.,0
7169,"Wayne National Forest plans fires for tree, wildlife health.",0
8602,"School closures will have little impact on COVID-19 control, review finds.",0
27556,"The state of Michigan threatened local beavers with a $10,000 per day fine for failing to remove their dams.",0
2830,More infected in fresh wave of China bird flu - WHO.,0
10250,Raw Milk Straight from the Cow,0
11514,Results mixed on Merck’s new painkiller,2
42198,“Maine House Democrats Vote to Allow Female Genital Mutilation.”,1
8120,"Trump: Asian-Americans not responsible for virus, need protection.",0
9309,Nerve Zap Might Ease Pain of Herniated Disk,2
4185,Kansas officials suggest alternatives to deal with pond scum.,0
23475,"McDonald's in England only sells organic milk and free-range eggs, which provides more nutritious offerings than in the U.S.",2
15716,Wholly domestic communication between you and your wife can go to New York to London and back and get caught up in the (NSA) database.,0
11585,New Findings Show Xience Stents Are as Safe and Effective as Others,1
8645,Italy looks to safeguard biomedical valley leading fight against COVID-19.,0
35273,"Microsoft owns patent ""666,"" which involves inserting microchips into people to mine their activity for cryptocurrency purposes. ",1
3083,House passes $1.4T government spending bill amid impeachment.,0
31207,Chumlee from 'Pawn Stars' has passed away.,1
35572,The seasonal flu kills more people every year in the U.S. than COVID-19 has to date. ,1
13768,"Just on the issue of immigration alone, it is next to impossible to find a policy difference between (Donald) Trump and Congressman (Joe) Heck.",1
37537,"The 1918 influenza pandemic was called the ""Spanish Flu"" because it emanated from Spain.",1
6761,Woman strangled at North Carolina assisted living center.,0
17890,One out of four corporations doesn't pay a nickel in (federal income) taxes.,2
27765,"Getting your hair washed at a beauty salon can, in rare cases, increase the chances of a stroke.",0
10257,Busting the vitamin C myth,2
4624,UN demands immediate halt to attacks in Ebola areas in Congo.,0
5909,Minnesota environmentalists aren’t excited about DFL’s wins.,0
17128,"More ""25- to 34-year-olds are moving to Austin than any other city in America.",1
1679,"Denver Zoo mourns death of oldest hippo, 58-year-old 'Bertie'.",0
980,EU court orders countries take hard line on air quality.,0
5583,Alabama: Case of meningococcal disease in Jackson County.,0
6408,America’s air isn’t getting cleaner as fast as it used to.,0
2791,Drug critic slams FDA over antibiotic oversight in meat production.,0
32355,Astrophysicist Neil DeGrasse Tyson admonished a little girl who said she wanted to live on the planet Jupiter.,1
8726,Indonesian barber gears up to groom during coronavirus.,0
2384,China detains man for spreading 'panic' with bird flu rumors.,0
34583,Coffee serves as an effective mosquito repellant and protection against infection by the Zika virus.,3
21813,Voted the ‘best specialty plate in America’,1
3260,WVa Senate forms committee dedicated to child welfare issues.,0
5186,Northern Colorado to get new VA clinic.,0
31225,Women absorb and retain DNA from every man they have had sex with.,1
30819,"Canada has legalized euthanasia, enabling parents to ""kill disabled children.",1
10075,Children in intensive care recover faster with little to no nutrition,1
32163,A passenger plane was forced to make an emergency landing because one passenger's vagina had an offensive odor.,1
17161,Drone technology now allows an individual to be recorded in their homes by drones as small as birds and immediately uploaded to the internet.,0
29319,"A photograph shows people lining up outside a Houston, Texas shelter to turn in unwanted animals to be euthanized.",1
33541,Hillary Clinton supported and helped free two Black Panthers accused of torturing and murdering Alex Rackley.,1
37784,A painting depicting J. Marion Sims' experiments on enslaved Black women is on display at the Alabama state Capitol.,1
8220,"World closes borders, restricts travel to contain coronavirus spread.",0
26009,"“The national coin shortage was done intentionally, the Mint is no longer releasing coins into circulation aka this is the beginning of the end of paper money.”",1
3073,"Jordan, Egypt faulted for deaths of US-trained sniffer dogs.",0
7078,State regulators strip ex-USC dean of medical license.,0
3074,UK’s Johnson pushes his Brexit message as election nears.,0
12696,"Governor Rauner has called every year for eliminating funding for afterschool programs for at-risk youth, homeless prevention services and programs that help autistic children.",0
38318," The Centers for Disease Control and Prevention (CDC) has admitted that 98 million Americans were given cancer through polio shots contaminated with SV40, a cancer-causing virus found in monkeys. ",1
33865,"A stranger who stopped to change a tire on a disabled limo was rewarded for his efforts when the vehicle's passenger, Donald Trump, paid off his mortgage.",1
